"","var","n","Mean","Min","Q1","Median","Q3","Max","SD","SE"
"1","alanineAminotransferaseALT",35,13.3142857142857,4,10,12,17.5,28,6.19188951761248,1.04662035412382
"2","albumin",35,17.4571428571429,8,16,17,19,35,4.56548983998339,0.771708632636356
"3","albuminGlobulin",35,0.344135154857143,0.166666667,0.283412059,0.326530612,0.3712316965,1.029411765,0.136286367063007,0.0230366005969586
"4","alkalinePhosphataseALP",35,18.6857142857143,3,14.5,16,22.5,56,10.3973170424236,1.75746734723312
"5","aspartateAminotransferaseAST",35,118.828571428571,41,79.5,102,130.5,344,62.6542734631348,10.5905051588585
"6","bloodUreaNitrogenBUN",35,6.22257142857143,1.79,4.82,6.07,7.5,10.35,2.01835743184627,0.34116467421756
"7","calcium",35,2.33457142857143,2,2.24,2.33,2.44,2.65,0.165784105836172,0.0280226284827607
"8","chloride",35,103.971428571429,95,99.5,103,107,128,7.34240589791574,1.24109311691345
"9","cholinesterase",35,267.171428571429,143,214,249,287,955,131.169958386794,22.1717696846323
"10","creatinine",35,83.096,53.04,79.56,79.56,88.4,114.92,12.5383635295839,2.11937025687214
"11","creatininePhosphokinaseCPK",35,602.914285714286,3,146,213,699.5,3232,791.739610025944,133.828420010105
"12","directBilirubin",35,1.50571428571429,0.34,0.86,1.71,1.71,4.1,0.718791001753417,0.121497854678495
"13","gammaGlutamylTransferaseGGT",35,19.4285714285714,3,15,19,23,36,7.12198631532175,1.20383540730249
"14","globulin",35,52.0285714285714,34,48,51,56.5,66,6.57752731246465,1.11180503874451
"15","glucose",35,7.07542857142857,3.11,5.77,7.1,8.155,10.82,1.97664502281479,0.334113990223973
"16","HDLCholesterol",35,2.15628571428571,0.85,1.905,2.1,2.445,3.34,0.534052683644192,0.0902713795662142
"17","indirectBilirubin",35,5.326,1.71,2.91,3.42,6.415,18.47,3.78633860081214,0.640008035663839
"18","iron",35,10.6231428571429,2.69,8.06,9.85,13.25,22.2,4.162933617357,0.703664211772328
"19","lactateDehydrogenase",35,717.914285714286,215,566.5,633,787.5,1532,286.605628965346,48.445193349841
"20","LDLCholesterol",35,1.11171428571429,0.18,0.74,1.04,1.5,2.51,0.540726557590834,0.0913994701585195
"21","magnesium",35,0.652,0.37,0.53,0.62,0.7,1.07,0.167029409175186,0.0282331231658398
"22","phosphorus",35,1.02342857142857,0.48,0.795,0.94,1.24,1.81,0.351642723573255,0.059438468794452
"23","potassium",35,3.38857142857143,2.2,3.05,3.5,3.65,4.5,0.554538190787629,0.0937340622707237
"24","reactiveLymphocytes",35,0.621228571428571,0,0.1445,0.392,0.8735,3.672,0.736231704485127,0.124445871502327
"25","sodium",35,139.2,124,135,140,143,155,6.55205401112551,1.10749926494275
"26","totalBilirubin",35,6.83028571428571,2.74,3.93,5.13,7.355,21.03,4.11309850693259,0.695240540650317
"27","totalCholesterol",35,3.4,1.58,2.81,3.16,4.055,6.01,0.924732075665544,0.156308249646533
"28","totalProtein",35,69.4571428571429,54,65.5,69,75,83,7.55895595476322,1.27769675729472
"29","triglyceride",35,0.727142857142857,0.03,0.155,0.25,0.345,16.54,2.75545616104887,0.465757099645672
"30","uricAcid",35,12.068,0,5.95,11.9,11.9,53.53,12.280705766268,2.07581814588608
"31","VLDLCholesterol",35,0.133142857142857,0.03,0.08,0.1,0.16,0.34,0.0802485634312111,0.0135644829639479
