"","var","n","Mean","Min","Q1","Median","Q3","Max","SD","SE"
"1","bandNeutrophils",35,0.3756,0,0,0.078,0.3405,2.779,0.651052098755636,0.110047890262651
"2","basophils",35,0.0280285714285714,0,0,0,0,0.384,0.08025235408469,0.013565123701331
"3","eosinophils",35,0.385771428571429,0,0,0.179,0.411,1.852,0.563701114260463,0.0952828790224872
"4","lymphocytes",35,2.97325714285714,1.191,1.903,2.945,3.8205,7.308,1.32749444095119,0.22438751497967
"5","MCV",35,46.4282857142857,31.05,38.885,45.57,53.265,72.69,9.45356748276864,1.59794455608501
"6","monocytes",35,0.658657142857143,0,0.3985,0.558,0.7785,2.46,0.473907905104999,0.0801050564697935
"7","packedCellVolume",35,0.291714285714286,0.19,0.27,0.29,0.32,0.36,0.037454734585325,0.00633100565890295
"8","redBloodCellCount",35,6.49942857142857,4.19,5.565,6.35,7.24,9.73,1.39816674688709,0.236333314990311
"9","segmentedNeutrophils",35,9.95888571428571,3.72,5.9465,9.145,12.5475,25.799,5.07153916056485,0.857246579914735
"10","totalNeutrophils",35,10.3344857142857,3.798,5.949,9.145,12.846,25.799,5.32756775633303,0.900523311323863
"11","whiteBloodCellCount",35,14.3802857142857,6.6,9.375,14.25,18.85,28.35,5.61011559371016,0.948282612708588
