ID,Biome,Sex,Age,Hemacias,Hemoglobina,Hematocrito,VCM-VGM,HCM-HGM,CHCM-CHGM,LeucocitosTotais,Eosinofilos,Basofilos,Linfocitos,Monocitos,Bastonetes,Segmentados,Neutrofilos,Plaquetas,TGP-ALT,TGO-AST,GamaGT,Ureia,acidourico,Creatinina,CreatininaFosfoquinaseCK-CPK,FosfataseAlcalina,Glicose,ColesterolTotal,ColesterolFracionadoHDL,ColesterolFracionadoLDL,ColesterolFracionadoVLDL,Triglicerideos,ProteinasTotais,Albumina,Globulina,RelaçaoA-G,BilirrubinaTotal,BilirrubinaDireta,BilirrubinaIndireta,Magnesio,Sodio,Potassio,Calcio,Fosforo,Cloro,Ferro,Colinesterase,LinfocitosReativos,LactatoDesidrogenase
Joana,Atlantic,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulete,Atlantic,Female,Adult,,,,,,,,,,,,,,,,,,,4.6053,,,,,,3.665368,,,,,63.8,,,,,,,,,,,,,,,,
Paulete,Atlantic,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docinho,Atlantic,Female,Adult,,,,,,,,,,,,,,,,,,,2.8917,,,,,,2.889145,,,,,65.2,,,,,,,,,,,,,,,,
Docinho,Atlantic,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docinho,Atlantic,Female,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xuxa,Atlantic,Female,Adult,,,,,,,,,,,,,,,,,,,5.1408,,,,,,2.889145,,,,,85.8,,,,,,,,,,,,,,,,
Patricia,Atlantic,Female,Adult,5.35,10.4,0.309,58,19.4,33.7,11.3,0,0,2.26,0.113,0.113,8.814,,312,12,72,11.3,3.1059,17.844,53.04,187,25,10.7115,3.9886,,,,0.226,99,23,76,0.3,15.39,6.84,8.55,0.2055,137,3.4,1.95,0.6137,95.8,17.363,0.8,,
Georgete,Atlantic,Female,Adult,3.28,9.3,0.28,85,28,33,11.45,2.404,0,4.007,0.114,0.343,4.58,4.923,,,,,2.8917,,,,,,3.270911,,,,,69.6,,,,,,,,,,,,,,,,
Georgete,Atlantic,Female,Adult,2.68,7.1,,78,26,33,9.6,0.48,0,2.304,0.096,0.192,6.528,6.72,,7,66,28,9.282,,70.72,,12,,,,,,,,,,,17.1,5.13,11.97,0.6165,128,5.3,2.5,0.6783,,,,,
